document_id,split
cord_train_0000,train
cord_train_0001,train
cord_train_0002,train
cord_train_0003,train
cord_train_0004,train
cord_train_0005,train
cord_train_0006,train
cord_train_0007,train
cord_train_0008,train
cord_train_0009,train
cord_train_0010,train
cord_train_0011,train
cord_train_0012,train
cord_train_0013,train
cord_train_0014,train
cord_train_0015,train
cord_train_0016,train
cord_train_0017,train
cord_train_0018,train
cord_train_0019,train
cord_train_0020,train
cord_train_0021,train
cord_train_0022,train
cord_train_0023,train
cord_train_0024,train
cord_train_0025,train
cord_train_0026,train
cord_train_0027,train
cord_train_0028,train
cord_train_0029,train
cord_train_0030,train
cord_train_0031,train
cord_train_0032,train
cord_train_0033,train
cord_train_0034,train
cord_train_0035,train
cord_train_0036,train
cord_train_0037,train
cord_train_0038,train
cord_train_0039,train
cord_train_0040,train
cord_train_0041,train
cord_train_0042,train
cord_train_0043,train
cord_train_0044,train
cord_train_0045,train
cord_train_0046,train
cord_train_0047,train
cord_train_0048,train
cord_train_0049,train
cord_train_0050,train
cord_train_0051,train
cord_train_0052,train
cord_train_0053,train
cord_train_0054,train
cord_train_0055,train
cord_train_0056,train
cord_train_0057,train
cord_train_0058,train
cord_train_0059,train
cord_train_0060,train
cord_train_0061,train
cord_train_0062,train
cord_train_0063,train
cord_train_0064,train
cord_train_0065,train
cord_train_0066,train
cord_train_0067,train
cord_train_0068,train
cord_train_0069,train
cord_train_0070,train
cord_train_0071,train
cord_train_0072,train
cord_train_0073,train
cord_train_0074,train
cord_train_0075,train
cord_train_0076,train
cord_train_0077,train
cord_train_0078,train
cord_train_0079,train
cord_train_0080,train
cord_train_0081,train
cord_train_0082,train
cord_train_0083,train
cord_train_0084,train
cord_train_0085,train
cord_train_0086,train
cord_train_0087,train
cord_train_0088,train
cord_train_0089,train
cord_train_0090,train
cord_train_0091,train
cord_train_0092,train
cord_train_0093,train
cord_train_0094,train
cord_train_0095,train
cord_train_0096,train
cord_train_0097,train
cord_train_0098,train
cord_train_0099,train
cord_train_0100,train
cord_train_0101,train
cord_train_0102,train
cord_train_0103,train
cord_train_0104,train
cord_train_0105,train
cord_train_0106,train
cord_train_0107,train
cord_train_0108,train
cord_train_0109,train
cord_train_0110,train
cord_train_0111,train
cord_train_0112,train
cord_train_0113,train
cord_train_0114,train
cord_train_0115,train
cord_train_0116,train
cord_train_0117,train
cord_train_0118,train
cord_train_0119,train
cord_train_0120,train
cord_train_0121,train
cord_train_0122,train
cord_train_0123,train
cord_train_0124,train
cord_train_0125,train
cord_train_0126,train
cord_train_0127,train
